"Username","participant_ethnicity","Response.RT","key","Target_Ethnicity","Target_Gender","scored"
"20325078EM","White",1749,"NEW","W","M",1
"20325078EM","White",1356,"OLD","W","F",1
"20325078EM","White",1593,"OLD","B","M",1
"20325078EM","White",1675,"NEW","W","M",1
"20325078EM","White",1396,"NEW","B","F",1
"20325078EM","White",1515,"OLD","W","F",1
"20325078EM","White",1897,"NEW","W","M",0
"20325078EM","White",1810,"OLD","B","F",1
"20325078EM","White",1229,"OLD","W","M",1
"20325078EM","White",1486,"NEW","B","F",1
"20325078EM","White",2086,"NEW","W","M",0
"20325078EM","White",2027,"OLD","B","M",1
"20325078EM","White",1534,"NEW","W","M",1
"20325078EM","White",1320,"OLD","W","F",1
"20325078EM","White",2815,"OLD","W","M",1
"20325078EM","White",1244,"OLD","B","F",1
"20325078EM","White",1140,"OLD","B","F",1
"20325078EM","White",2203,"NEW","B","F",0
"20325078EM","White",1409,"NEW","B","M",1
"20325078EM","White",1735,"OLD","B","M",0
"20325078EM","White",1912,"NEW","W","F",1
"20325078EM","White",1172,"OLD","B","F",1
"20325078EM","White",1681,"OLD","W","F",0
"20325078EM","White",1691,"NEW","W","M",1
"20325078EM","White",1878,"OLD","B","M",1
"20325078EM","White",1255,"OLD","B","F",1
"20325078EM","White",2489,"NEW","B","F",1
"20325078EM","White",2815,"NEW","W","F",0
"20325078EM","White",1312,"OLD","W","M",1
"20325078EM","White",1402,"OLD","W","M",1
"20325078EM","White",1675,"NEW","W","M",0
"20325078EM","White",1410,"OLD","B","F",1
"20325078EM","White",2186,"NEW","B","M",0
"20325078EM","White",1293,"NEW","W","M",1
"20325078EM","White",1462,"OLD","B","M",1
"20325078EM","White",1382,"NEW","W","F",1
"20325078EM","White",1533,"OLD","W","M",1
"20325078EM","White",1298,"NEW","B","M",1
"20325078EM","White",2033,"NEW","B","F",0
"20325078EM","White",1785,"NEW","B","F",1
"20325078EM","White",1461,"OLD","W","F",1
"20325078EM","White",1638,"OLD","B","F",1
"20325078EM","White",1770,"OLD","W","M",0
"20325078EM","White",1174,"OLD","W","M",1
"20325078EM","White",1784,"OLD","W","M",1
"20325078EM","White",1280,"NEW","W","F",1
"20325078EM","White",3023,"OLD","W","M",1
"20325078EM","White",1673,"OLD","B","F",1
"20325078EM","White",1560,"OLD","B","M",1
"20325078EM","White",1827,"OLD","W","F",1
"20325078EM","White",1513,"NEW","B","F",1
"20325078EM","White",1707,"NEW","B","F",1
"20325078EM","White",1154,"NEW","W","F",1
"20325078EM","White",2452,"NEW","B","M",0
"20325078EM","White",2354,"OLD","B","F",1
"20325078EM","White",1903,"NEW","B","M",1
"20325078EM","White",1873,"NEW","W","M",0
"20325078EM","White",1088,"OLD","W","F",1
"20325078EM","White",2051,"OLD","B","M",1
"20325078EM","White",1334,"NEW","W","F",1
"20325078EM","White",1900,"NEW","W","M",0
"20325078EM","White",1651,"NEW","W","F",1
"20325078EM","White",1591,"NEW","W","F",1
"20325078EM","White",2242,"NEW","B","F",1
"20325078EM","White",7343,"OLD","W","F",1
"20325078EM","White",1984,"OLD","B","F",1
"cooforah0923","Black",18390,"NEW","B","M",0
"cooforah0923","Black",13258,"NEW","B","F",0
"cooforah0923","Black",10225,"NEW","W","F",0
"cooforah0923","Black",12168,"NEW","W","F",0
"cooforah0923","Black",12762,"NEW","B","F",0
"cooforah0923","Black",8517,"NEW","B","M",0
"cooforah0923","Black",5546,"NEW","W","F",0
"cooforah0923","Black",27576,"OLD","W","F",0
"cooforah0923","Black",15852,"NEW","B","M",0
"cooforah0923","Black",26622,"NEW","W","F",0
"cooforah0923","Black",20133,"OLD","B","F",1
"cooforah0923","Black",41122,"NEW","W","M",0
"cooforah0923","Black",19188,"OLD","B","F",1
"cooforah0923","Black",14423,"OLD","B","M",1
"cooforah0923","Black",18971,"OLD","W","F",1
"cooforah0923","Black",32102,"NEW","W","F",0
"cooforah0923","Black",7820,"OLD","B","M",1
"cooforah0923","Black",5623,"NEW","B","F",0
"cooforah0923","Black",7364,"OLD","W","F",1
"cooforah0923","Black",15993,"NEW","W","F",0
"cooforah0923","Black",30321,"OLD","W","F",1
"cooforah0923","Black",64273,"NEW","B","M",0
"cooforah0923","Black",42932,"NEW","B","F",0
"cooforah0923","Black",6006,"OLD","W","M",1
"cooforah0923","Black",13931,"NEW","B","F",0
"cooforah0923","Black",5569,"OLD","W","F",1
"cooforah0923","Black",9822,"OLD","B","M",1
"cooforah0923","Black",14238,"NEW","W","M",0
"cooforah0923","Black",4223,"NEW","W","F",0
"cooforah0923","Black",22716,"OLD","W","M",1
"cooforah0923","Black",12181,"OLD","W","M",0
"cooforah0923","Black",15057,"NEW","B","M",0
"cooforah0923","Black",9135,"OLD","W","F",1
"cooforah0923","Black",11023,"NEW","B","F",0
"cooforah0923","Black",10638,"NEW","B","M",0
"cooforah0923","Black",22533,"NEW","W","M",0
"cooforah0923","Black",28458,"OLD","B","M",1
"cooforah0923","Black",17609,"OLD","B","F",0
"cooforah0923","Black",7222,"NEW","B","F",0
"cooforah0923","Black",34025,"NEW","W","M",0
"cooforah0923","Black",25917,"NEW","W","F",0
"cooforah0923","Black",7150,"OLD","B","M",1
"cooforah0923","Black",45853,"OLD","W","F",1
