"Username","participant ethnicity","Response.RT","Response.JOL","Stimuli.Stimuli.Notes_2.1","Stimuli.Stimuli.Notes_3.1","key.1","Target_Ethnicity","scored"
"55b765befdf99b0416ce5382","White",3558,"21","M","H","OLD","B",0
"55b765befdf99b0416ce5382","White",3116,"30","F","L","OLD","W",0
"55b765befdf99b0416ce5382","White",4977,"60","M","L","OLD","W",1
"55b765befdf99b0416ce5382","White",4238,"21","F","L","OLD","B",1
"55b765befdf99b0416ce5382","White",3877,"50","M","L","OLD","W",1
"56b10faa6399f90011da710d","Black",4465,"25","M","H","OLD","W",1
"56b10faa6399f90011da710d","Black",5087,"27","M","L","OLD","W",0
"56b10faa6399f90011da710d","Black",3726,"88","M","H","OLD","B",0
"56b10faa6399f90011da710d","Black",3699,"78","F","L","OLD","W",0
"56b10faa6399f90011da710d","Black",4293,"46","F","L","OLD","W",1
"56b10faa6399f90011da710d","Black",4662,"32","F","L","OLD","W",0
"56b10faa6399f90011da710d","Black",4122,"38","F","H","OLD","W",1
"56b10faa6399f90011da710d","Black",3431,"77","M","H","OLD","B",1
"56b10faa6399f90011da710d","Black",5669,"29","F","H","OLD","W",1
"56b10faa6399f90011da710d","Black",7388,"44","F","H","OLD","W",1
"56b10faa6399f90011da710d","Black",3615,"87","M","H","OLD","B",0
"56b10faa6399f90011da710d","Black",5483,"28","M","H","OLD","W",1
"56b10faa6399f90011da710d","Black",7205,"76","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",4226,"40","M","H","OLD","W",0
"56b10faa6399f90011da710d","Black",7471,"75","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",4726,"16","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",5066,"69","F","L","OLD","B",0
"56b10faa6399f90011da710d","Black",5781,"68","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",5411,"80","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",4692,"39","F","L","OLD","W",0
"56b10faa6399f90011da710d","Black",4518,"94","F","H","OLD","B",1
"56b10faa6399f90011da710d","Black",4468,"54","F","L","OLD","B",0
"56b10faa6399f90011da710d","Black",5085,"77","F","L","OLD","W",0
"56b10faa6399f90011da710d","Black",6793,"37","M","L","OLD","W",0
"56b10faa6399f90011da710d","Black",4881,"69","F","L","OLD","B",1
"56b10faa6399f90011da710d","Black",5173,"80","F","H","OLD","B",1
"56b10faa6399f90011da710d","Black",7345,"51","M","H","OLD","W",1
