Username,ID,Gender,Age,Education,Race,Fluent,AgeEnglish,Country,consent,
636675b4dd6bb79382d46c2b,x3l048am6a,Male,33,Bachelors degree,White,Yes,0,United Kingdom,on,
5fef3d23f0b5edd6fabe8e64,9009bobdmo,Female,42,Bachelors degree,White,Yes,0,Scotland ,on,
63d00de49e766aa13d314c9a,cpyph8s27l,Male,28,Bachelors degree,White,Yes,0,United Kingdom,on,
63d05806e94c60eb89e4d3f5,8o5pbyx6ie,Male,38,Bachelors degree,Black,Yes,0,United Kingdom,on,
654533a40bc23c2234908efa,akzjyvn6fc,Female,22,Bachelors degree,Black,Yes,0,Canada,on,46
615dc51a3a18c145f4e09db3,0ub51ihm5t,Male,24,Bachelors degree,Black,Yes,3,Canada,on,47
65d5179cf1a1d839ea0e1b40,shl4t161wy,Female,41,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,United States,on,48
6318f811441991ef04d3d712,2hjx1ij84y,Male,35,Bachelors degree,Black,Yes,0,United States,on,49
5e668a7463bec7407f2a65f9,w7qp41po19,Female,31,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,United Kingdom,on,
65e6bebf625a8201fff5cb70,4w87jyulis,Male,29,Bachelors degree,Black,Yes,2,UK,on,
63d13d6a1d2f8799323bada5,5i3fcnydjz,Female,39,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,United Kingdom,on,
65c8d70512b2fc050e53d0d1,624gkdfnfc,Female,27,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,England,on,
654ab0763f86ff8249f0ec77,sh872rqwla,Female,32,Bachelors degree,Black,Yes,0,Canada,on,
65e6bebf625a8201fff5cb70,4w87jyulis,Male,29,Bachelors degree,Black,Yes,2,United Kingdom,on,
65e6bebf625a8201fff5cb70,4w87jyulis,Male,29,Bachelors degree,Black,Yes,2,United Kingdom,on,
5f486e6825bc3c1f9ae198b3,tubk4lzi96,Female,23,Bachelors degree,White,Yes,0,Canada,on,50
5e48226a5c30832c06c7703d,9zind51crz,Male,31,"Graduate degree (Masters, Doctorate, etc.)",White,Yes,0,Canada,on,51
60e101de786c9b2a375e73bb,1rdpicfvgl,Male,34,Associates degree,White,Yes,0,canada,on,52
6599601acbd86485dbecb6c9,xzqjlzhw2c,Female,47,"Some College, no degree",White,Yes,0,Canada,on,53
5c37462f41a65c00010bb1a1,92zn62ym3q,Female,34,Associates degree,White,Yes,0,United Kingdom,on,
616faf3ab8c53e7a73a5dea5,albvfujgur,Female,23,Bachelors degree,White,Yes,0,United States,on,54
573156e4070de6000e43457d,0z7w5ym9ic,Female,40,Bachelors degree,White,Yes,0,Canada,on,55
5f2047f472c1fd2eaf643c64,olyvg8w7wb,Female,25,Bachelors degree,White,Yes,2,United States,on,56
610c4ee070fd5e59a42868d5,w3qdce362c,Female,26,Bachelors degree,White,Yes,0,Canada ,on,57
5f39433e518ae24a53d11c92,18dc74lssd,Female,25,Bachelors degree,White,Yes,2,United States,on,58
5f8cff5b20cbd14a4e792ee8,n5rrqbkd7u,Female,26,Bachelors degree,White,Yes,2,United States,on,59
5c952f252e2e320019b1aa7b,qui87xx1zh,Female,28,Bachelors degree,White,Yes,2,United States,on,60
5aeae9fd26b66800016982d6,y9lhfkvbgn,Male,30,Bachelors degree,White,Yes,0,UK,on,
60fd2b6a7b0c96a6a3cf8d81,4emc8xcgpw,Male,23,Bachelors degree,White,Yes,0,Canada,on,61
57d2edf35e9bc90001f76b06,3umy1vk3ox,Female,41,Bachelors degree,White,Yes,0,Scotland,on,
6605b8805eb4edcb02fe7d59,773ibgsbma,Female,48,"Graduate degree (Masters, Doctorate, etc.)",White,Yes,0,Canada,on,62
65464fec47eeb23dde2b5c56,lrj27o16f4,Male,41,"Some College, no degree",White,Yes,0,UK,on,
6620009020d5eaa24a7b09d8,1ptydn7msv,Male,29,Bachelors degree,White,Yes,0,UK,on,
5fa07c635b16f50d21483d5e,p1xgvc1uu4,Female,47,"Some College, no degree",White,Yes,0,scotland,on,
60fd641351c1489395a91649,mmo0l702ao,Female,41,High School Graduate,White,Yes,0,canada,on,63
5ad93bf180491c000142d5db,a2hz89kg9f,Male,33,High School Graduate,White,Yes,0,United Kingdom,on,
65b2aa6ff9e672961875b4a6,jvva72i1yg,Female,37,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,United Kingdom,on,
6613eaa8e44e25e801f85215,uqdqm22r0x,Female,31,Bachelors degree,Black,Yes,0,England,on,
59c22487cb3cd4000101d12c,tweu4abnwy,Male,39,High School Graduate,Black,Yes,0,England,on,
652d36620eca7decc5bd4466,6d5q2gnl9y,Female,22,Bachelors degree,Black,Yes,0,Canada,on,64
6579b9576cf175ed2acfc3ba,rl6mlrwv35,Male,18,High School Graduate,Black,Yes,0,Canada,on,65
6546d9c0df9f565fd1ce8cb2,iznu0tl0rn,Female,29,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,Canada,on,66
661bfe90f5ef0ba200a823ec,rm8c7nqugt,Male,30,High School Graduate,Black,Yes,0,united kingdom,on,
66201d0846aea327b3a3facb,xhutypl4ci,Female,35,Bachelors degree,White,Yes,0,USA,on,67
5a4ff22bacc75b000179b0e9,qrpzrzsscu,Male,42,"Graduate degree (Masters, Doctorate, etc.)",White,Yes,0,England,on,
5977986837d15f00016f1d08,0jui07xq3n,Female,48,Bachelors degree,White,Yes,0,United Kingdom,on,
55b765befdf99b0416ce5382,gjwa229usb,Male,29,Bachelors degree,White,Yes,0,Northern Ireland,on,
5cdd2e2a8b39ba00191a227e,40kfvdmfwh,Male,28,"Graduate degree (Masters, Doctorate, etc.)",White,Yes,0,United Kingdom,on,
542460e3fdf99b691e6ac927,tfensml692,Female,40,Bachelors degree,White,Yes,0,United Kingdom,on,
60e5ffe203dd6eafa22c5d15,awe9lo6d8p,Female,24,Bachelors degree,White,Yes,0,United Kingdom,on,
65d7836037dedd85eceb642f,nktsk6b5j7,Female,31,Bachelors degree,White,Yes,0,United States,on,68
653e666cc034dbb89a5b83ce,mexbfc93q2,Male,40,Bachelors degree,White,Yes,0,uk,on,
5de7d7a6603b1b73f3944f8e,xmrjqfrnvk,Male,37,Bachelors degree,White,Yes,0,United States,on,69
60db48619d10beb5c73430f5,jkl81hpuvk,Female,24,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,United Kingdom,on,
5d30c0f46cc6bd0020882925,ltx6j8nqmc,Female,29,Bachelors degree,Black,Yes,0,US,on,70
60a67970be8bd689da58c394,raufb0uscc,Female,30,Bachelors degree,Black,Yes,0,England,on,
5e8e2341b233860cae471c69,zzecvg95p4,Female,37,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,0,United Kingdom,on,
6605f90eaecb387f09216496,t5xgkrvsec,Male,29,"Graduate degree (Masters, Doctorate, etc.)",Black,Yes,3,united kingdom,on,
5b6d45fe3a3efc000157bab3,do5hvvcy90,Male,25,Bachelors degree,Black,Yes,0,Canada,on,71
6605f5aaf46ff2cc9346c9d9,fimhb78k2p,Female,49,Bachelors degree,Black,Yes,0,Canada,on,72
65c8926a097bd8b7a1d1f29c,hrmd7fmxzx,Female,34,Bachelors degree,Black,Yes,3,United States of America,on,73
65ca870d5ec4d7d40b27c58d,t8qbpbryq7,Female,34,Bachelors degree,Black,Yes,0,United States,on,74
65c7895232215aca31bc9e99,fo4o3cyhbt,Female,35,Bachelors degree,Black,Yes,4,USA,on,75
56b10faa6399f90011da710d,86zqpirc3u,Female,35,High School Graduate,Black,Yes,0,United Kingdom,on,
5fc18d478a746025809c8d29,nj1sdrjxow,Female,40,Bachelors degree,Black,Yes,0,United Kingdom,on,
5e9a5763b804c70e5b5bf37b,wp678ydajz,Male,25,"Some College, no degree",White,Yes,0,Canada,on,76
5f4b9740fdda0b04d86a533c,timog8ldi4,Male,39,Bachelors degree,Black,Yes,0,United Kingdom,on,
610008383c0a128712403745,9blqdmiowm,Female,45,Associates degree,White,Yes,0,United States,on,77
649609322cee8b311a1c3f0f,s8lsz6nwxw,Male,37,"Some College, no degree",White,Yes,0,USA,on,78
5a90460d1eda41000135f918,c6h7muhjtp,Female,38,High School Graduate,White,Yes,0,,on,
65cf72df48ae91f6cd86b9c2,mczr9n2hgl,Male,33,Bachelors degree,Black,Yes,0,United Kingdom,on,
6530167b3f9fc4d0974cc464,zsqeecucgt,Male,21,Bachelors degree,Black,Yes,0,Canada,on,79
