"i","e","h","m","f","c","dprime","beta","aprime","bppd","c"
"542460e3fdf99b691e6ac927","White",8,2,1,9,1.84466215685682,1.37966785860447,0.913194444444444,0.28,0.174472483665106
"55b765befdf99b0416ce5382","White",4,6,2,8,0.51797447718407,1.28817035884927,0.6875,0.2,0.488871356171267
"56b10faa6399f90011da710d","Black",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"573156e4070de6000e43457d","White",9,1,0,10,2.78742519167841,2.28784818887405,0.975,1,0.296909033745692
"57d2edf35e9bc90001f76b06","White",8,2,4,6,0.977742712342534,0.776294837969497,0.791666666666667,-0.2,-0.258987238592035
"5873b2d22bd3c90001859b76","White",8,2,0,10,2.4384802243482,3.15647061155598,0.95,1,0.471381517410798
"5977986837d15f00016f1d08","White",6,4,0,10,1.92050574716413,4.06607188038523,0.9,1,0.730368756002833
"59c22487cb3cd4000101d12c","Black",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"59ed327377860e00015135e2","White",7,3,2,8,1.22064771575557,1.18279639651086,0.834821428571429,0.135135135135135,0.137534736885517
"5a4ff22bacc75b000179b0e9","White",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.4,0.312007220550623
"5a54f0daac562400015388da","White",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"5a90460d1eda41000135f918","White",5,5,1,9,1.09680356209351,1.82483400532336,0.811111111111111,0.470588235294118,0.548401781046757
"5ad93bf180491c000142d5db","White",8,2,2,8,1.4957171895266,1,0.875,-1.73472347597681e-16,0
"5aea88ec1aff900001cc0e55","White",9,1,1,9,2.19360712418703,1,0.944444444444444,-1.5419764230905e-16,0
"5aeae9fd26b66800016982d6","White",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"5af2f9d5dd84460001c1dd2a","White",6,4,3,7,0.702673238571499,1.08908884288898,0.732142857142857,0.0666666666666667,0.121452501706518
"5b6d45fe3a3efc000157bab3","Black",5,5,4,6,0.229884117579232,1.02677554575825,0.591666666666667,0.0204081632653061,0.114942058789616
"5b9a367afe0ef200013fe072","White",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"5be883a1ee424500017fbb77","White",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.4,0.312007220550623
"5c2844f42c45d40001493efd","Black",5,5,1,9,1.09680356209351,1.82483400532336,0.811111111111111,0.470588235294118,0.548401781046757
"5c37462f41a65c00010bb1a1","White",3,7,0,10,1.21783250859263,3.73346206504084,0.825,1,1.08170537528858
"5c4e5f2ae5f00f0001542748","White",7,3,3,7,0.945578241984534,1,0.785714285714286,6.60847038467355e-17,2.77555756156289e-17
"5c55e58e1a0deb0001ee0234","Black",6,4,0,10,1.92050574716413,4.06607188038523,0.9,1,0.730368756002833
"5c952f252e2e320019b1aa7b","White",8,2,3,7,1.22064771575557,0.845454046824887,0.834821428571429,-0.135135135135135,-0.137534736885517
"5cdd2e2a8b39ba00191a227e","White",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.4,0.312007220550623
"5cfaf97eadb3da00013c1eaa","Black",10,0,2,8,2.4384802243482,0.3168095392173,0.95,-1,-0.471381517410798
"5d30559f95d88f0019378e9c","White",4,6,0,10,1.46073751200567,4.06607188038523,0.85,1,0.960252873582065
"5d30c0f46cc6bd0020882925","Black",7,3,2,8,1.22064771575557,1.18279639651086,0.834821428571429,0.135135135135135,0.137534736885517
"5de7d7a6603b1b73f3944f8e","White",7,3,2,8,1.22064771575557,1.18279639651086,0.834821428571429,0.135135135135135,0.137534736885517
"5dfd479669a117a38618c665","White",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"5e3964db34f9ab172aac9283","White",10,0,0,10,3.3812432591698,0.999999999999999,1,-1.73472347597681e-16,-3.33066907387547e-16
"5e4338aa9293781d471ed10d","White",8,2,2,8,1.4957171895266,1,0.875,-1,0
"5e48226a5c30832c06c7703d","White",10,0,3,7,2.16341075057717,0.267847907003994,0.925,0.4,-0.608916254296316
"5e668a7463bec7407f2a65f9","Black",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.470588235294118,0.312007220550623
"5e7d031be805560ae6b93dba","Black",10,0,0,10,3.3812432591698,0.999999999999999,1,1,-3.33066907387547e-16
"5e8e2341b233860cae471c69","Black",5,5,1,9,1.09680356209351,1.82483400532336,0.811111111111111,-1.73472347597681e-16,0.548401781046757
"5e9375259c9687000b26ec11","White",5,5,0,10,1.6906216295849,4.17494317407483,0.875,1,0.845310814792449
"5e9a5763b804c70e5b5bf37b","White",8,2,2,8,1.4957171895266,1,0.875,1,0
"5eaea57e1d031b01ccb2e761","Black",9,1,0,10,2.78742519167841,2.28784818887405,0.975,-1.73472347597681e-16,0.296909033745692
"5ec957b88b62d208f6997476","White",9,1,0,10,2.78742519167841,2.28784818887405,0.975,0.28,0.296909033745692
"5edf802fff5acd23df58da42","White",8,2,2,8,1.4957171895266,1,0.875,-1.73472347597681e-16,0
"5ef7204033605901ce86c0b0","White",8,2,1,9,1.84466215685682,1.37966785860447,0.913194444444444,0.454545454545454,0.174472483665106
"5efa33c4e9f4160ffd817db9","White",8,2,2,8,1.4957171895266,1,0.875,0,0
"5f0f2cea74ad8a000bb071f7","White",6,4,1,9,1.32668767967275,1.77724724051132,0.847222222222222,1,0.433459722257141
"5f2047f472c1fd2eaf643c64","White",6,4,4,6,0.459768235158464,1,0.666666666666667,1,-5.55111512312578e-17
"5f25ae44546c5a26eabe8a14","Black",8,2,0,10,2.4384802243482,3.15647061155598,0.95,-1.5419764230905e-16,0.471381517410798
"5f39433e518ae24a53d11c92","White",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"5f486e6825bc3c1f9ae198b3","White",9,1,1,9,2.19360712418703,1,0.944444444444444,-0.0666666666666666,0
"5f4b9740fdda0b04d86a533c","Black",9,1,0,10,2.78742519167841,2.28784818887405,0.975,1,0.296909033745692
"5f8cff5b20cbd14a4e792ee8","White",7,3,4,6,0.702673238571499,0.918198736980303,0.732142857142857,-0.2,-0.121452501706518
"5fa07c635b16f50d21483d5e","White",6,4,0,10,1.92050574716413,4.06607188038523,0.9,1,0.730368756002833
"5fa3e063d7b2bf02aedabe43","White",8,2,6,4,0.51797447718407,0.776294837969497,0.6875,0.454545454545454,-0.488871356171267
"5fc18d478a746025809c8d29","Black",7,3,0,10,2.16341075057716,3.73346206504084,0.925,0.28,0.608916254296315
"5fdcd228539a382bc5e9fae5","Black",6,4,1,9,1.32668767967275,1.77724724051132,0.847222222222222,-1,0.433459722257141
"5fea486eeed16da38175ba44","White",8,2,1,9,1.84466215685682,1.37966785860447,0.913194444444444,-1,0.174472483665106
"5fef3d23f0b5edd6fabe8e64","White",10,0,1,9,2.78742519167841,0.437091938557402,0.975,0.470588235294118,-0.296909033745692
"60074d72cd735e2251a31e76","White",10,0,1,9,2.78742519167841,0.437091938557402,0.975,-1.5419764230905e-16,-0.296909033745692
"604055c26be513259eced8fd","Black",5,5,1,9,1.09680356209351,1.82483400532336,0.811111111111111,-0.135135135135135,0.548401781046757
"60a67970be8bd689da58c394","Black",9,1,1,9,2.19360712418703,1,0.944444444444444,0,0
"60bea11ea6e2371d747c5d1d","Black",8,2,3,7,1.22064771575557,0.845454046824887,0.834821428571429,0.0666666666666667,-0.137534736885517
"60db48619d10beb5c73430f5","Black",6,4,6,4,0,1,0.5,0.28,-0.229884117579232
