"i","e","h","m","f","c","dprime","beta","aprime","bppd","c"
"542460e3fdf99b691e6ac927","White",4,6,0,10,1.46073751200567,4.06607188038523,0.85,1,0.960252873582065
"55b765befdf99b0416ce5382","White",9,1,4,6,1.32668767967275,0.562667915417495,0.847222222222222,-0.454545454545455,-0.433459722257141
"56b10faa6399f90011da710d","Black",3,7,0,10,1.21783250859263,3.73346206504084,0.825,1,1.08170537528858
"573156e4070de6000e43457d","White",4,6,0,10,1.46073751200567,4.06607188038523,0.85,1,0.960252873582065
"57d2edf35e9bc90001f76b06","White",8,2,1,9,1.84466215685682,1.37966785860447,0.913194444444444,0.28,0.174472483665106
"5873b2d22bd3c90001859b76","White",6,4,0,10,1.92050574716413,4.06607188038523,0.9,1,0.730368756002833
"5977986837d15f00016f1d08","White",6,4,1,9,1.32668767967275,1.77724724051132,0.847222222222222,0.454545454545454,0.433459722257141
"59c22487cb3cd4000101d12c","Black",4,6,0,10,1.46073751200567,4.06607188038523,0.85,1,0.960252873582065
"59ed327377860e00015135e2","White",6,4,1,9,1.32668767967275,1.77724724051132,0.847222222222222,0.454545454545454,0.433459722257141
"5a4ff22bacc75b000179b0e9","White",6,4,2,8,0.977742712342534,1.28817035884927,0.791666666666667,0.2,0.258987238592035
"5a54f0daac562400015388da","White",7,3,0,10,2.16341075057716,3.73346206504084,0.925,1,0.608916254296315
"5a90460d1eda41000135f918","White",5,5,2,8,0.747858594763302,1.32266182323706,0.74375,0.219512195121951,0.373929297381651
"5ad93bf180491c000142d5db","White",10,0,1,9,2.78742519167841,0.437091938557402,0.975,-1,-0.296909033745692
"5aea88ec1aff900001cc0e55","White",8,2,0,10,2.4384802243482,3.15647061155598,0.95,1,0.471381517410798
"5aeae9fd26b66800016982d6","White",8,2,0,10,2.4384802243482,3.15647061155598,0.95,1,0.471381517410798
"5af2f9d5dd84460001c1dd2a","White",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.4,0.312007220550623
"5b6d45fe3a3efc000157bab3","Black",5,5,1,9,1.09680356209351,1.82483400532336,0.811111111111111,0.470588235294118,0.548401781046757
"5b9a367afe0ef200013fe072","White",6,4,0,10,1.92050574716413,4.06607188038523,0.9,1,0.730368756002833
"5be883a1ee424500017fbb77","White",6,4,0,10,1.92050574716413,4.06607188038523,0.9,1,0.730368756002833
"5c2844f42c45d40001493efd","Black",5,5,2,8,0.747858594763302,1.32266182323706,0.74375,0.219512195121951,0.373929297381651
"5c37462f41a65c00010bb1a1","White",2,8,3,7,-0.275069473771035,0.845454046824887,0.385416666666667,0.135135135135135,0.610323857877785
"5c4e5f2ae5f00f0001542748","White",6,4,3,7,0.702673238571499,1.08908884288898,0.732142857142857,0.0666666666666667,0.121452501706518
"5c55e58e1a0deb0001ee0234","Black",5,5,3,7,0.472789120992267,1.11824979103656,0.671428571428571,0.0869565217391305,0.236394560496134
"5c952f252e2e320019b1aa7b","White",8,2,3,7,1.22064771575557,0.845454046824887,0.834821428571429,-0.135135135135135,-0.137534736885517
"5cdd2e2a8b39ba00191a227e","White",9,1,2,8,1.84466215685682,0.724812130516322,0.913194444444444,-0.28,-0.174472483665106
"5cfaf97eadb3da00013c1eaa","Black",6,4,4,6,0.459768235158464,1,0.666666666666667,0,-5.55111512312578e-17
"5d30559f95d88f0019378e9c","White",1,9,0,10,0.593818067491384,2.28784818887405,0.775,1,1.39371259583921
"5d30c0f46cc6bd0020882925","Black",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.4,0.312007220550623
"5de7d7a6603b1b73f3944f8e","White",7,3,1,9,1.56959268308578,1.63186617153923,0.880952380952381,0.4,0.312007220550623
"5dfd479669a117a38618c665","White",5,5,1,9,1.09680356209351,1.82483400532336,0.811111111111111,0.470588235294118,0.548401781046757
"5e3964db34f9ab172aac9283","White",9,1,0,10,2.78742519167841,2.28784818887405,0.975,1,0.296909033745692
