"Username","JOL_B_H","JOL_W_H","JOL_B_L","JOL_W_L","recog_B_H","recog_W_H","recog_B_L","recog_W_L","ATB","contact","EMS","IMS"
"5d30559f95d88f0019378e9c",54.2,57.7,82.4,46.6,30,20,40,10,2.8,30,4,2
"5de7d7a6603b1b73f3944f8e",49.9,52.6,59,55.5,80,90,70,70,2,15,3.8,4.4
"5dfd479669a117a38618c665",35,38.5,34,29,50,90,70,50,1.8,7,1,3.2
"5e3964db34f9ab172aac9283",24.8,37.8,42,50,80,80,100,90,1.7,37.5,1.4,4.6
"5e4338aa9293781d471ed10d",46,39.4,48,45.5,70,90,80,60,1.3,7,4.2,5
"5e48226a5c30832c06c7703d",46,36,40.5,38.1,90,100,100,100,1.6,NA,1.8,4.8
"5e9375259c9687000b26ec11",27.4,40.9,36.2,36.9,40,90,50,70,2.8,2,3.6,3.2
"5e9a5763b804c70e5b5bf37b",51.5,61.8,68.5,58.6,100,80,80,100,1.5,NA,3,4.2
"5ec957b88b62d208f6997476",59,39.5,49,43,70,80,90,90,4.4,0,1.8,1.8
"5edf802fff5acd23df58da42",75,65.1,62.1,68.7,70,80,80,100,1.2,NA,2.8,4
"5ef7204033605901ce86c0b0",55,45.5,51,45.5,70,70,80,80,1.1,10,1,5
"5efa33c4e9f4160ffd817db9",65,66.5,66.5,66.5,70,90,80,80,1.1,1,4,5
"5f0f2cea74ad8a000bb071f7",30.9,33.7777777777778,30.8,28.4,80,90,60,60,1.2,NA,3.2,5
"5f2047f472c1fd2eaf643c64",56.5,61.5,63.5,61,70,80,60,90,1.6,21,3.8,4.2
"5f39433e518ae24a53d11c92",58.6,63.6,60.5,65.5,60,70,70,70,1.4,5,3.4,4.2
"5f486e6825bc3c1f9ae198b3",60,74,78,68,100,90,90,80,1.7,2,3.2,4.6
"5f8cff5b20cbd14a4e792ee8",65,62.5,64,65.5,60,60,70,60,1.5,7,3,5
"5fa07c635b16f50d21483d5e",58,61,62,63,80,100,60,100,1,1,1.8,5
"5fa3e063d7b2bf02aedabe43",31,37,53.9,56,100,90,80,90,1.4,20,1.8,5
"5fea486eeed16da38175ba44",63,79,72.5,68.6,90,70,80,70,2,30,2.4,4.2
"5fef3d23f0b5edd6fabe8e64",17,33.3,41.8,23.3,70,90,100,70,1.2,10,2.2,5
"60074d72cd735e2251a31e76",34,53.5,43.5,45.5,80,90,100,90,1.1,2,3.4,4.8
"60e101de786c9b2a375e73bb",9.5,7.5,7,6,80,80,60,100,1.4,39,1,5
"60e5ffe203dd6eafa22c5d15",48.5,39.5,45.2,46,50,80,80,70,1.1,30,2.8,5
"60fd2b6a7b0c96a6a3cf8d81",59.5,65.7,72.9,56.3,80,70,100,80,1.2,NA,2.6,4.4
"60fd641351c1489395a91649",45.6,36.2,43.6,54.7,80,80,80,90,1.5,NA,3,5
"610008383c0a128712403745",84.8,88.5,89.6,85.5,90,80,90,80,1.2,40,2.4,5
"610700380d4f5c44318cdea0",48.6,45,58.3,56.4,60,90,80,70,1.1,5,2.4,4.6
"610c4ee070fd5e59a42868d5",55,43,50.5,56.5,90,80,90,80,1,15,2.8,5
"6158d21467d1c77397989b0e",62,63,60,63,40,70,70,30,2,10,3.2,3.8
"616faf3ab8c53e7a73a5dea5",54.6,61.6,65.7,51.7,80,90,80,80,1.4,NA,4.2,5
"6173240b98f6e6f48d97880a",48.8,29,42.9,45.4,100,90,100,90,2.3,40,2.8,4
"629dd4199343d7710fcdb39c",51.5,48,55,66.5,100,70,70,90,1.5,1,3.2,4.6
"62b836d1a99c01a1f84f68bb",53.5,45,54.5,52.8,60,70,70,60,1,4,1.8,5
"636675b4dd6bb79382d46c2b",43,39,33,23,100,80,70,100,1.4,30,3,4.6
"637545d6428d85daeedc3df5",45.5,43,38.5,40.5,70,80,40,40,2.4,40,2.6,3.2
"63d196c147d1f420690e5b87",34.5,46.5,25.5,38.5,30,20,20,40,4.2,0,2.6,2.4
"63ea4a7fa7d709c8e7887a93",30,51.2,38,54.8,90,90,90,80,1,1,1.4,5
"63ea8ec521931832f4b6b7cb",50,52,60,52,60,80,60,90,1.3,0,2.4,5
"63ed35a73e8bacd8d4661f91",77,79,72.5,76.5,100,90,90,90,1.9,50,2.2,5
"649609322cee8b311a1c3f0f",46.1,44.6,59.2,44,90,90,70,70,1.7,1,1.8,4.2
"653293a1c43c09cb264298c3",68,64,79.5,64,100,100,70,90,1.4,9,2.2,4.8
"6537d382e6ef905f0b52d045",55.5,59,59,57,100,90,90,80,1.2,0,1.8,5
"653e666cc034dbb89a5b83ce",38.3,46.8,65.4,52.9,100,90,60,80,1.4,21,1.8,3.2
"65464fec47eeb23dde2b5c56",33,39,44,45,90,90,80,80,1,5,3.4,5
"654e3b2a1d5b25b892be6421",65.5,72,82.2,74.5,100,80,100,80,2.2,10,3.4,4.6
"656e02962907eb6f11faa71f",26.2,18.1,31.6,14.1,80,100,90,70,1.1,16,1,4.6
"6599601acbd86485dbecb6c9",84.1,59.6,81.7,75.2,70,70,80,50,1.4,5,1.6,5
"659d52af923c07a8e1aac79a",29.1,58.6,35.4,50.5,80,90,90,60,1.4,30,3.8,4.6
"65a3eae145bd7a121b03e953",43.2,46.7,54.9,50.8,100,90,70,90,1,40,2.2,5
"65b6601cec4e2d7a82f0aa5b",70,45,53,60,50,30,50,70,1,0,1,5
"65d7836037dedd85eceb642f",47.5,56,56.5,57.5,90,100,90,90,1.5,12,1.8,5
"65df4369886094bb19030a5e",64,63,65,67,60,60,50,40,1.7,10,2,2.2
"65f2195fc9a3f1ad259d4a79",74.6,82.2,78.8,79.7,90,80,90,70,2.3,0,2.4,5
"6605b8805eb4edcb02fe7d59",48,72,51,46,100,90,90,90,1.5,8,3,3.8
"661e73f9e86cfe3c5c386fd1",24,27.5,32,30.7,50,60,30,80,1.3,NA,2.4,3.2
"6620009020d5eaa24a7b09d8",44.8,56.5,53.4,60.7,80,70,50,50,1.5,NA,3.4,3.6
"66201d0846aea327b3a3facb",66,68.9,72.9,72,50,50,70,70,1.8,0,4.2,4.4
