"Username","JOL_B_H","JOL_W_H","JOL_B_L","JOL_W_L","recog_B_H","recog_W_H","recog_B_L","recog_W_L","ATW","contact","EMS","IMS"
"65e1e45089bd7513faa07730",84.4,61.5,71.3,73.5,90,90,70,90,4.125,6,4.5,4.33333333333333
"65e5c74d56a92539d1f5ba3a",72.4,46.2,60.2,46.9,100,70,70,40,4.22222222222222,7,2,4
"65e6bebf625a8201fff5cb70",66.3,72,66.7,71.4,70,30,50,20,3.2,8,2.2,2.6
"65efe7266d34333407e0649b",60.6,41,49.5,43.9,50,70,50,80,3.7,NA,3.2,2.2
"65f1756a0f443016c737e241",76.2,55.4,65.1,52.5,90,70,60,20,3.9,3,2.4,4
"6605f90eaecb387f09216496",58,65,53.5,64.5,80,30,70,40,3,0,3.2,3.6
"6613eaa8e44e25e801f85215",66.5,49.5,60,58,80,80,90,70,3.2,NA,1.8,3.8
"661872037b0fe632b6c1ee21",62.5,69,42,51.5,90,100,100,100,4.2,NA,3.8,4.8
"661bfe90f5ef0ba200a823ec",62,50,62,50,50,50,20,20,3.4,11,4,3.8
"karisgold",100,100,100,100,80,40,70,60,2.8,0,3.6,4
