"Username","ATW","contact","EMS","IMS"
"56b10faa6399f90011da710d",4.1,12,1.8,5
"59c22487cb3cd4000101d12c",3.4,20,3,5
"5b6d45fe3a3efc000157bab3",4.4,40,1.4,5
"5c2844f42c45d40001493efd",3.4,45,2,4.6
"5c55e58e1a0deb0001ee0234",3.7,130,2,4.2
"5cfaf97eadb3da00013c1eaa",3,NA,3,4.6
"5d30c0f46cc6bd0020882925",3.8,40,1,4.4
"5e668a7463bec7407f2a65f9",3.2,35,1,3
"5e7d031be805560ae6b93dba",2.6,35,2,5
"5e8e2341b233860cae471c69",3.6,40,4,4.8
"5eaea57e1d031b01ccb2e761",4.1,30,1.6,3.6
"5f25ae44546c5a26eabe8a14",3.2,10,2.6,4
"5f4b9740fdda0b04d86a533c",4.2,NA,1,5
"5fc18d478a746025809c8d29",3.4,5,3,3.2
"5fdcd228539a382bc5e9fae5",4.8,NA,1.8,5
"604055c26be513259eced8fd",3.2,40,3,4.6
"60a67970be8bd689da58c394",3.4,40,1,3.8
"60bea11ea6e2371d747c5d1d",3.6,NA,1.8,3.6
"60db48619d10beb5c73430f5",3.3,32,1.8,5
"60f87d8e6ba613288a9926fa",3.8,NA,3.2,3.6
"60fd6be0432be350d020019b",3.9,NA,1.8,5
"615dc51a3a18c145f4e09db3",4,20,4,3.8
"615dcb204ee13e6299a50595",3.6,40,1.8,5
"620bda0aa922fc3f247f64c2",4.3,0,2.6,4.2
"62903fb4a5cf8345fc23c0af",4.1,35,1,4.6
"62abb1afcd1bb1a819c90a0c",3.4,40,1,1.8
"63052f20afc39e87110eb83e",3.3,0,1,5
"6318f811441991ef04d3d712",3.7,35,2.8,4
"6346d9fda71cffd6c403c4a2",4.1,16,2.8,5
"63d05806e94c60eb89e4d3f5",4.4,12,2.4,4.8
"63d13d6a1d2f8799323bada5",3.5,39,3.6,4
"63faeccd22c0d2a8f1b9759e",4.2,25,1.2,5
"6400c176195e0363ae8f6e1f",3.3,15,2.6,4
"6466249c27b5e4161f763c32",3.9,10,2.8,4.4
"646995ed901eb3789602a086",3.4,0,3.4,4.8
"64810434459e0022918705e3",3.9,45,1.8,4.8
"6487a878b901a707e4800c69",4.2,20,1,5
"65104c746c12168416f61f7d",2.8,90,2.6,5
"652d36620eca7decc5bd4466",3.8,40,1.8,4.6
"6530167b3f9fc4d0974cc464",4,60,1.4,5
"654533a40bc23c2234908efa",3,10,3.4,5
"6546d9c0df9f565fd1ce8cb2",3.2,0,3.6,4
"654a44f0addb5f41f1705b75",3.7,NA,3,4
"654ab0763f86ff8249f0ec77",3.1,3,2.8,5
"654c7115dcc911de57cb3920",4.2,35,1,1.2
"655b74ac266d0804924f2d2e",3.4,3,3,3
"655f8c42a20c94f85160d5dc",4.6,0,2.8,5
"655fa05b1303f59972ea6555",4.2,0,2.6,4.8
"656018e0096ae7651d08a6cd",3.9,45,3,4.2
"6564171a43463427fd17303a",2.9,5,2.4,4.8
"656e8a2635854adf1b4ccc90",4.4,NA,1,4.8
"656e9ee5741090021252e349",3.8,5,1.8,4.8
"6579b9576cf175ed2acfc3ba",3.1,40,2,4.6
"65ab93cd4bceee49344efd60",2.7,35,1.6,5
"65b245ff936ba04dd1bfbe42",3.7,40,2,4.4
"65b2aa6ff9e672961875b4a6",3.9,NA,1,5
"65c10ed7544fa71bac9bec3c",2.7,NA,2,3.2
"65c110109c8a16b298ea48a5",3.9,20,1.8,4.2
"65c1126b379ff4faa4eba30c",3.4,35,2.4,5
"65c128bca0b6d12cd458c6b7",4,168,5,5
"65c13572506a7378305c3c49",3.8,40,2.8,4.4
"65c732e873b992088286bec2",3.7,NA,2.6,4
"65c7895232215aca31bc9e99",3.6,5,3.4,4
"65c8926a097bd8b7a1d1f29c",4.1,7,3,4.2
"65c8d70512b2fc050e53d0d1",3.2,NA,1.6,3.8
"65ca870d5ec4d7d40b27c58d",2.8,NA,2.4,3.2
"65cf72df48ae91f6cd86b9c2",3.9,40,1.2,5
"65d5179cf1a1d839ea0e1b40",3.6,3,1,2.8
"65e1e45089bd7513faa07730",4.125,6,4.5,4.33333333333333
"65e5c74d56a92539d1f5ba3a",4.22222222222222,7,2,4
"65e6bebf625a8201fff5cb70",3.2,8,2.2,2.6
"65efe7266d34333407e0649b",3.7,NA,3.2,2.2
"65f1756a0f443016c737e241",3.9,3,2.4,4
"6605f90eaecb387f09216496",3,0,3.2,3.6
"6613eaa8e44e25e801f85215",3.2,NA,1.8,3.8
"661872037b0fe632b6c1ee21",4.2,NA,3.8,4.8
"661bfe90f5ef0ba200a823ec",3.4,11,4,3.8
"karisgold",2.8,0,3.6,4
