"Username","participant_ethnicity","Response.RT","Stimuli.Stimuli.Notes_3","key","Target_Ethnicity","scored"
"542460e3fdf99b691e6ac927","White",2694,"H","NEW","B",0
"542460e3fdf99b691e6ac927","White",1898,"H","OLD","B",0
"542460e3fdf99b691e6ac927","White",2717,"L","NEW","W",0
"542460e3fdf99b691e6ac927","White",2060,"H","OLD","W",1
"542460e3fdf99b691e6ac927","White",3069,"H","OLD","W",1
"542460e3fdf99b691e6ac927","White",2379,"L","OLD","B",1
"542460e3fdf99b691e6ac927","White",2208,"L","OLD","W",0
"542460e3fdf99b691e6ac927","White",2525,"L","OLD","B",1
"542460e3fdf99b691e6ac927","White",2352,"L","OLD","W",1
"542460e3fdf99b691e6ac927","White",3478,"L","OLD","W",0
"542460e3fdf99b691e6ac927","White",2479,"L","NEW","B",0
"542460e3fdf99b691e6ac927","White",2360,"L","NEW","W",0
"542460e3fdf99b691e6ac927","White",1981,"H","NEW","B",1
"542460e3fdf99b691e6ac927","White",3878,"L","NEW","W",0
"542460e3fdf99b691e6ac927","White",2573,"H","OLD","W",1
"542460e3fdf99b691e6ac927","White",3529,"L","OLD","B",1
"542460e3fdf99b691e6ac927","White",2480,"L","NEW","B",1
"542460e3fdf99b691e6ac927","White",2377,"L","NEW","B",0
"542460e3fdf99b691e6ac927","White",9548,"L","NEW","B",0
"542460e3fdf99b691e6ac927","White",3011,"H","OLD","B",1
"542460e3fdf99b691e6ac927","White",2829,"H","NEW","B",0
"542460e3fdf99b691e6ac927","White",3297,"H","NEW","B",1
"542460e3fdf99b691e6ac927","White",2065,"H","NEW","W",0
"542460e3fdf99b691e6ac927","White",4392,"H","NEW","B",0
"542460e3fdf99b691e6ac927","White",2641,"H","OLD","W",0
"542460e3fdf99b691e6ac927","White",2265,"H","NEW","B",0
"542460e3fdf99b691e6ac927","White",3348,"L","OLD","B",1
"542460e3fdf99b691e6ac927","White",3764,"H","NEW","W",0
"542460e3fdf99b691e6ac927","White",2049,"H","NEW","B",1
"542460e3fdf99b691e6ac927","White",2154,"L","OLD","W",0
"542460e3fdf99b691e6ac927","White",2312,"L","OLD","B",0
"542460e3fdf99b691e6ac927","White",2459,"L","NEW","B",0
"542460e3fdf99b691e6ac927","White",2690,"L","OLD","B",1
"542460e3fdf99b691e6ac927","White",7753,"H","NEW","W",0
"542460e3fdf99b691e6ac927","White",3738,"H","NEW","W",0
"542460e3fdf99b691e6ac927","White",5095,"H","NEW","W",0
"542460e3fdf99b691e6ac927","White",2459,"H","OLD","W",0
"542460e3fdf99b691e6ac927","White",2281,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",4491,"L","NEW","B",1
"55b765befdf99b0416ce5382","White",1638,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",2816,"H","NEW","B",1
"55b765befdf99b0416ce5382","White",2018,"H","NEW","W",1
"55b765befdf99b0416ce5382","White",2099,"L","NEW","W",1
"55b765befdf99b0416ce5382","White",1946,"H","OLD","B",1
"55b765befdf99b0416ce5382","White",2293,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",3001,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",2207,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",3511,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",1828,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",4190,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",2914,"H","NEW","B",1
"55b765befdf99b0416ce5382","White",2803,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",2268,"H","NEW","B",1
"55b765befdf99b0416ce5382","White",1838,"H","OLD","B",1
"55b765befdf99b0416ce5382","White",2060,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",1901,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",2503,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",1953,"H","OLD","B",1
"55b765befdf99b0416ce5382","White",3862,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",2180,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",1674,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",2322,"L","OLD","B",1
"55b765befdf99b0416ce5382","White",1646,"L","NEW","W",1
"55b765befdf99b0416ce5382","White",2614,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",2491,"L","NEW","B",1
"55b765befdf99b0416ce5382","White",2448,"H","NEW","B",1
"55b765befdf99b0416ce5382","White",1924,"H","NEW","B",1
"55b765befdf99b0416ce5382","White",2039,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",2413,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",2157,"H","OLD","W",0
"55b765befdf99b0416ce5382","White",3095,"H","NEW","B",0
"55b765befdf99b0416ce5382","White",1875,"L","OLD","B",0
"55b765befdf99b0416ce5382","White",2024,"L","OLD","B",0
"55b765befdf99b0416ce5382","White",1581,"H","OLD","B",0
"55b765befdf99b0416ce5382","White",2905,"H","OLD","B",1
"55b765befdf99b0416ce5382","White",3137,"L","OLD","B",0
"55b765befdf99b0416ce5382","White",2896,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",1979,"L","OLD","B",1
"55b765befdf99b0416ce5382","White",2385,"H","NEW","W",1
"55b765befdf99b0416ce5382","White",1741,"L","NEW","W",1
"55b765befdf99b0416ce5382","White",2949,"L","OLD","B",1
"55b765befdf99b0416ce5382","White",2020,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",2566,"H","NEW","B",0
"55b765befdf99b0416ce5382","White",2110,"L","NEW","W",1
"55b765befdf99b0416ce5382","White",5649,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",2423,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",2195,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",4048,"L","OLD","B",0
"55b765befdf99b0416ce5382","White",2028,"L","OLD","B",1
"55b765befdf99b0416ce5382","White",2060,"H","OLD","B",0
"55b765befdf99b0416ce5382","White",4248,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",3014,"L","OLD","W",0
"55b765befdf99b0416ce5382","White",3097,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",2139,"H","NEW","B",1
"55b765befdf99b0416ce5382","White",3280,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",2924,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",2210,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",2737,"H","OLD","B",1
"55b765befdf99b0416ce5382","White",3719,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",1913,"L","OLD","B",0
"55b765befdf99b0416ce5382","White",1939,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",2142,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",1974,"H","NEW","W",1
"55b765befdf99b0416ce5382","White",6575,"L","NEW","W",0
"55b765befdf99b0416ce5382","White",7377,"H","NEW","B",0
"55b765befdf99b0416ce5382","White",2628,"H","NEW","W",0
"55b765befdf99b0416ce5382","White",3670,"L","OLD","B",0
"55b765befdf99b0416ce5382","White",1656,"L","NEW","B",0
"55b765befdf99b0416ce5382","White",4136,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",3968,"H","OLD","W",0
"55b765befdf99b0416ce5382","White",2338,"H","OLD","B",0
"55b765befdf99b0416ce5382","White",1918,"H","OLD","B",0
"55b765befdf99b0416ce5382","White",2077,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",2868,"H","OLD","W",1
"55b765befdf99b0416ce5382","White",2373,"H","NEW","B",0
"55b765befdf99b0416ce5382","White",2174,"L","OLD","W",1
"55b765befdf99b0416ce5382","White",1852,"H","OLD","B",1
"55b765befdf99b0416ce5382","White",1814,"L","OLD","W",1
"56b10faa6399f90011da710d","Black",2730,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",2454,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",3883,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",3413,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",2858,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",2858,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",2799,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",2835,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",2525,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",3275,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",3133,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",3226,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",2992,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",2730,"H","OLD","W",0
"56b10faa6399f90011da710d","Black",3104,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",2922,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",3217,"L","OLD","W",1
"56b10faa6399f90011da710d","Black",3156,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",2949,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",3180,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",2931,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",2791,"H","OLD","B",1
"56b10faa6399f90011da710d","Black",2545,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",3622,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",5827,"H","OLD","B",1
"56b10faa6399f90011da710d","Black",2952,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",3079,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",2777,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",3100,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",3933,"L","OLD","B",0
"56b10faa6399f90011da710d","Black",2771,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",3068,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",2956,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",2669,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",3035,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",3116,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",2650,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",3079,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",3225,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",2863,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",4010,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",2877,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",3214,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",2976,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",2724,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",2445,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",3174,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",3025,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",2407,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",2828,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",2778,"H","OLD","B",1
"56b10faa6399f90011da710d","Black",2908,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",2793,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",2903,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",3620,"L","OLD","W",1
"56b10faa6399f90011da710d","Black",3441,"H","OLD","B",0
"56b10faa6399f90011da710d","Black",3010,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",2894,"H","NEW","B",0
"56b10faa6399f90011da710d","Black",3831,"H","NEW","W",0
"56b10faa6399f90011da710d","Black",3020,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",2917,"L","OLD","B",0
"56b10faa6399f90011da710d","Black",3279,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",2812,"L","OLD","B",0
"56b10faa6399f90011da710d","Black",3926,"L","OLD","B",1
"56b10faa6399f90011da710d","Black",3614,"L","NEW","B",0
"56b10faa6399f90011da710d","Black",6299,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",3325,"H","OLD","B",1
"56b10faa6399f90011da710d","Black",3736,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",3406,"H","OLD","B",0
"56b10faa6399f90011da710d","Black",2944,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",3720,"H","OLD","B",1
"56b10faa6399f90011da710d","Black",2906,"L","OLD","W",1
"56b10faa6399f90011da710d","Black",5229,"L","OLD","W",0
"56b10faa6399f90011da710d","Black",3958,"H","OLD","B",1
"56b10faa6399f90011da710d","Black",3390,"H","OLD","B",0
"56b10faa6399f90011da710d","Black",3081,"H","OLD","B",0
"56b10faa6399f90011da710d","Black",2536,"H","OLD","W",1
"56b10faa6399f90011da710d","Black",4782,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",2938,"L","NEW","W",0
"56b10faa6399f90011da710d","Black",3041,"L","NEW","W",0
"573156e4070de6000e43457d","White",5134,"L","OLD","B",1
"573156e4070de6000e43457d","White",4572,"L","OLD","W",0
"573156e4070de6000e43457d","White",4082,"L","OLD","B",1
"573156e4070de6000e43457d","White",3971,"H","OLD","B",1
"573156e4070de6000e43457d","White",5822,"H","NEW","B",0
"573156e4070de6000e43457d","White",3319,"L","NEW","B",0
"573156e4070de6000e43457d","White",3263,"L","NEW","B",0
"573156e4070de6000e43457d","White",2911,"H","OLD","B",1
"573156e4070de6000e43457d","White",4580,"H","NEW","B",1
"573156e4070de6000e43457d","White",6312,"H","OLD","B",1
"573156e4070de6000e43457d","White",3424,"H","NEW","B",0
"573156e4070de6000e43457d","White",2893,"H","OLD","B",1
"573156e4070de6000e43457d","White",3197,"L","NEW","B",0
"573156e4070de6000e43457d","White",4776,"H","OLD","B",0
"573156e4070de6000e43457d","White",2953,"H","OLD","W",1
"573156e4070de6000e43457d","White",4259,"L","OLD","W",0
"573156e4070de6000e43457d","White",3438,"L","NEW","W",0
